MESSAGE SIZE,TOTAL TIME
16000000,0.003980
32000000,0.007254
48000000,0.009242
64000000,0.011824
80000000,0.014679
96000000,0.018056
112000000,0.020249
128000000,0.022619
144000000,0.026083
160000000,0.028398
176000000,0.031068
192000000,0.033124
208000000,0.035793
224000000,0.038373
240000000,0.040393
256000000,0.043346
272000000,0.047167
288000000,0.049319
304000000,0.051419
320000000,0.054337
336000000,0.057632
352000000,0.059588
368000000,0.061210
384000000,0.066931
400000000,0.067824
416000000,0.070328
432000000,0.071845
448000000,0.076310
464000000,0.078599
480000000,0.080049
496000000,0.081048
512000000,0.086026
528000000,0.087526
544000000,0.095282
560000000,0.106859
576000000,0.101123
592000000,0.103639
608000000,0.104050
624000000,0.105596
640000000,0.109943
656000000,0.112907
672000000,0.114732
688000000,0.119122
704000000,0.120286
720000000,0.122117
736000000,0.124536
752000000,0.128755
768000000,0.135622
784000000,0.132021
800000000,0.134669
816000000,0.141179
832000000,0.141610
848000000,0.143297
864000000,0.144763
880000000,0.150772
896000000,0.151273
912000000,0.152915
928000000,0.154445
944000000,0.162152
960000000,0.161202
976000000,0.163278
992000000,0.172177
1008000000,0.170521
1024000000,0.173220
1040000000,0.172917
1056000000,0.174419
1072000000,0.181492
1088000000,0.185992
1104000000,0.188852
1120000000,0.196148
1136000000,0.197232
1152000000,0.201137
1168000000,0.199673
1184000000,0.205582
1200000000,0.207130
1216000000,0.208314
1232000000,0.209819
1248000000,0.216459
1264000000,0.216303
1280000000,0.218188
1296000000,0.218630
1312000000,0.226768
1328000000,0.227549
1344000000,0.228771
1360000000,0.228674
1376000000,0.236658
1392000000,0.237413
1408000000,0.238372
1424000000,0.245665
1440000000,0.247223
1456000000,0.248644
1472000000,0.247997
1488000000,0.249008
1504000000,0.256810
1520000000,0.257585
1536000000,0.258033
1552000000,0.265177
1568000000,0.266378
1584000000,0.269670
1600000000,0.269165
1616000000,0.277917
1632000000,0.277278
1648000000,0.276892
1664000000,0.278234
1680000000,0.284750
1696000000,0.286181
1712000000,0.287662
1728000000,0.287235
1744000000,0.295677
1760000000,0.296021
1776000000,0.296255
1792000000,0.297272
1808000000,0.306481
1824000000,0.307240
1840000000,0.307528
1856000000,0.316602
1872000000,0.316103
1888000000,0.316494
1904000000,0.317445
1920000000,0.318519
1936000000,0.327140
1952000000,0.325759
1968000000,0.327583
1984000000,0.337622
2000000000,0.336085
2016000000,0.336605
2032000000,0.336994
2048000000,0.336240
2064000000,0.346655
2080000000,0.345355
2096000000,0.346473
2112000000,0.355516
2128000000,0.355018
2144000000,0.355095
16000000,0.004031
32000000,0.006940
48000000,0.009298
64000000,0.012113
80000000,0.014600
96000000,0.018443
112000000,0.020590
128000000,0.022411
144000000,0.025956
160000000,0.028962
176000000,0.030128
192000000,0.034718
208000000,0.035417
224000000,0.038564
240000000,0.040707
256000000,0.045153
272000000,0.046549
288000000,0.050197
304000000,0.051647
320000000,0.054605
336000000,0.057288
352000000,0.059248
368000000,0.063152
384000000,0.065944
400000000,0.067026
416000000,0.072057
432000000,0.071645
448000000,0.075953
464000000,0.077686
480000000,0.079189
496000000,0.084343
512000000,0.085727
528000000,0.087937
544000000,0.098264
560000000,0.104561
576000000,0.101503
592000000,0.102478
608000000,0.104092
624000000,0.109899
640000000,0.110153
656000000,0.112821
672000000,0.117092
688000000,0.118956
704000000,0.120613
720000000,0.121595
736000000,0.125856
752000000,0.129574
768000000,0.130370
784000000,0.134308
800000000,0.137816
816000000,0.138643
832000000,0.141397
848000000,0.141954
864000000,0.143670
880000000,0.148957
896000000,0.151287
912000000,0.152886
928000000,0.157740
944000000,0.159773
960000000,0.162053
976000000,0.167185
992000000,0.170485
1008000000,0.170075
1024000000,0.171184
1040000000,0.171763
1056000000,0.178766
1072000000,0.180218
1088000000,0.184209
1104000000,0.193328
1120000000,0.195198
1136000000,0.196663
1152000000,0.196718
1168000000,0.198893
1184000000,0.205645
1200000000,0.206426
1216000000,0.207349
1232000000,0.213628
1248000000,0.214986
1264000000,0.215578
1280000000,0.216806
1296000000,0.218682
1312000000,0.225462
1328000000,0.225540
1344000000,0.226203
1360000000,0.234017
1376000000,0.234518
1392000000,0.235903
1408000000,0.242625
1424000000,0.244338
1440000000,0.244908
1456000000,0.245716
1472000000,0.247593
1488000000,0.254845
1504000000,0.254445
1520000000,0.257000
1536000000,0.264273
1552000000,0.265235
1568000000,0.264171
1584000000,0.265841
1600000000,0.265985
1616000000,0.275853
1632000000,0.274198
1648000000,0.275822
1664000000,0.284806
1680000000,0.284174
1696000000,0.286480
1712000000,0.285415
1728000000,0.286709
1744000000,0.295014
1760000000,0.295593
1776000000,0.295672
1792000000,0.304827
1808000000,0.305679
1824000000,0.305040
1840000000,0.314707
1856000000,0.314361
1872000000,0.314982
1888000000,0.315529
1904000000,0.316502
1920000000,0.325851
1936000000,0.325003
1952000000,0.325804
1968000000,0.335636
1984000000,0.336752
2000000000,0.336029
2016000000,0.336681
2032000000,0.336645
2048000000,0.346281
2064000000,0.346177
2080000000,0.346851
2096000000,0.355511
2112000000,0.354642
2128000000,0.355965
2144000000,0.355904
16000000,0.005117
32000000,0.007015
48000000,0.009240
64000000,0.011953
80000000,0.014735
96000000,0.019369
112000000,0.020127
128000000,0.022434
144000000,0.026435
160000000,0.027830
176000000,0.032188
192000000,0.032890
208000000,0.037160
224000000,0.038092
240000000,0.040825
256000000,0.044581
272000000,0.046642
288000000,0.049270
304000000,0.053046
320000000,0.055202
336000000,0.057651
352000000,0.060898
368000000,0.065000
384000000,0.067197
400000000,0.068895
416000000,0.070585
432000000,0.073396
448000000,0.077069
464000000,0.078752
480000000,0.080891
496000000,0.084582
512000000,0.087326
528000000,0.088906
544000000,0.100244
560000000,0.105899
576000000,0.102980
592000000,0.102850
608000000,0.106731
624000000,0.110724
640000000,0.111946
656000000,0.115736
672000000,0.118817
688000000,0.122134
704000000,0.123718
720000000,0.122720
736000000,0.125220
752000000,0.130827
768000000,0.132052
784000000,0.133780
800000000,0.138391
816000000,0.140492
832000000,0.143935
848000000,0.143404
864000000,0.146190
880000000,0.151681
896000000,0.153372
912000000,0.155644
928000000,0.161891
944000000,0.164002
960000000,0.165602
976000000,0.169397
992000000,0.171334
1008000000,0.172871
1024000000,0.173720
1040000000,0.175861
1056000000,0.181688
1072000000,0.183032
1088000000,0.187401
1104000000,0.200201
1120000000,0.199293
1136000000,0.199456
1152000000,0.201751
1168000000,0.201330
1184000000,0.208791
1200000000,0.210171
1216000000,0.210341
1232000000,0.220045
1248000000,0.218028
1264000000,0.221411
1280000000,0.221156
1296000000,0.221320
1312000000,0.229388
1328000000,0.228929
1344000000,0.231234
1360000000,0.239734
1376000000,0.239686
1392000000,0.241221
1408000000,0.247222
1424000000,0.248488
1440000000,0.249519
1456000000,0.250862
1472000000,0.251705
1488000000,0.259077
1504000000,0.259833
1520000000,0.260520
1536000000,0.267698
1552000000,0.269368
1568000000,0.271280
1584000000,0.271557
1600000000,0.272022
1616000000,0.279585
1632000000,0.280527
1648000000,0.284396
1664000000,0.289372
1680000000,0.290309
1696000000,0.291952
1712000000,0.291126
1728000000,0.291522
1744000000,0.300070
1760000000,0.305013
1776000000,0.302137
1792000000,0.309484
1808000000,0.310137
1824000000,0.309563
1840000000,0.321526
1856000000,0.319632
1872000000,0.320371
1888000000,0.318919
1904000000,0.320118
1920000000,0.332062
1936000000,0.329635
1952000000,0.330610
1968000000,0.339528
1984000000,0.338905
2000000000,0.340017
2016000000,0.339125
2032000000,0.340132
2048000000,0.349259
2064000000,0.349728
2080000000,0.350127
